city_name,state
Los Angeles,California
Los Angeles,California
San Francisco,California
Sacramento,California
Phoenix,Arizona
Portland,Oregon
Oklahoma City,Oklahoma
Salt Lake City,Utah
Denver,Colorado
Minneapolis,Minnesota
Dallas,Texas
Houston,Texas
Memphis,Tennessee
San Antonio,Texas
New Orleans,Louisiana
Boston,Massachusetts
Brooklyn,New York
Philadelphia,Pennsylvania
Toronto,Ontario 
New York,New York
Cleveland,Ohio
Detroit,Michigan
Indianapolis,Indiana
Milwaukee,Wisconsin
Chicago,Illinois
Atlanta,Georgia
Charlotte,North Carolina
Miami,Florida
Orlando,Florida
Washington,D.C.
